69 , 191
73 , 179
78 , 170
83 , 160
88 , 153
93 , 143
101 , 133
108 , 125
116 , 115
126 , 106
137 , 99
148 , 91
161 , 86
173 , 81
187 , 75
199 , 71
215 , 68
228 , 64
243 , 62
258 , 61
270 , 62
285 , 61
297 , 61
310 , 60
323 , 57
335 , 54
347 , 50
359 , 46
372 , 41
384 , 39
398 , 37
419 , 35
431 , 35
445 , 36
459 , 38
472 , 41
484 , 45
495 , 51
508 , 54
522 , 59
532 , 61
545 , 63
564 , 67
575 , 66
588 , 67
603 , 68
617 , 69
629 , 70
645 , 69
658 , 73
672 , 73
686 , 73
701 , 74
716 , 77
731 , 80
745 , 83
759 , 88
773 , 92
786 , 99
799 , 106
811 , 112
823 , 121
832 , 130
842 , 139
850 , 150
857 , 158
861 , 167
865 , 178
867 , 189
867 , 199
866 , 208
862 , 219
857 , 228
849 , 237
840 , 244
829 , 251
818 , 258
806 , 265
793 , 273
783 , 279
771 , 287
759 , 294
748 , 302
736 , 307
722 , 317
709 , 324
695 , 333
681 , 340
664 , 345
645 , 350
625 , 354
606 , 354
588 , 355
566 , 353
548 , 352
528 , 350
511 , 355
491 , 356
472 , 356
452 , 358
432 , 358
412 , 359
392 , 359
373 , 356
354 , 354
335 , 353
315 , 350
296 , 350
278 , 348
260 , 347
239 , 345
221 , 344
203 , 343
182 , 342
162 , 338
145 , 334
126 , 328
112 , 321
99 , 313
87 , 304
76 , 295
68 , 284
63 , 273
58 , 261
56 , 249
55 , 236
57 , 224
59 , 212
64 , 202
510 , 344
492 , 340
473 , 335
455 , 332
436 , 328
418 , 324
399 , 321
380 , 317
362 , 312
344 , 307
328 , 301
313 , 293
300 , 283
290 , 275
279 , 265
271 , 254
264 , 243
259 , 232
256 , 220
254 , 210
254 , 198
255 , 188
259 , 177
263 , 167
268 , 157
277 , 146
284 , 136
294 , 128
304 , 121
313 , 116
326 , 109
337 , 102
350 , 99
364 , 95
377 , 92
391 , 89
405 , 88
417 , 87
432 , 88
444 , 86
458 , 86
472 , 85
486 , 85
500 , 86
513 , 85
526 , 84
539 , 84
553 , 85
569 , 83
582 , 84
594 , 82
607 , 81
621 , 80
632 , 79
647 , 77
